obsra,obsdec,z_helio,quality,specid
+12:27:28.30,-08:10:04.4,     +0.009999,          4,               60694
+13:19:00.93,-47:15:28.0,     +0.009998,          4,               65221
+11:26:24.80,-36:15:34.3,     +0.009998,          4,               54615
+10:31:35.39,-39:57:16.7,     +0.009995,          4,               50045
+17:15:14.22,-77:27:25.4,     +0.009990,          4,               84761
+12:39:15.42,-26:54:36.1,     +0.009988,          4,               61295
+12:01:20.65,-33:52:35.7,     +0.009988,          4,               58584
+20:28:51.30,-49:38:15.0,     +0.009987,          3,               94973
+11:10:45.37,-35:21:02.0,     +0.009984,          4,               52561
+13:19:30.40,-12:44:27.1,     +0.009980,          4,               66398
+10:35:38.27,-27:31:33.9,     +0.009979,          3,               49676
+02:15:55.52,-02:00:54.4,     +0.009978,          4,               13652
+10:48:04.36,-31:32:00.1,     +0.009978,          4,               51925
+20:13:12.47,-46:09:41.9,     +0.009976,          4,               92101
+10:37:47.34,-27:04:52.4,     +0.009975,          4,               50887
+22:46:05.43,-19:24:54.9,     +0.009969,          4,              110399
+09:55:08.97,-33:08:13.7,     +0.009968,          4,               46292
+13:01:48.75,-27:07:30.3,     +0.009966,          4,               64652
+13:03:02.84,-30:47:34.7,     +0.009966,          4,               64483
+14:59:01.35,-42:34:54.2,     +0.009959,          4,               76581
+22:16:32.07,-64:23:20.6,     +0.009958,          4,              131744
+17:13:47.04,-77:32:10.3,     +0.009957,          3,               84129
+10:14:45.39,-34:03:31.5,     +0.009956,          4,               48317
+11:54:07.14,-39:52:08.4,     +0.009954,          4,               58008
+11:49:03.54,-37:31:01.6,     +0.009950,          4,               56779
+10:38:55.12,-26:38:23.9,     +0.009948,          4,               50290
+13:06:55.40,-18:48:28.4,     +0.009946,          4,               65552
+10:21:53.89,-33:38:32.3,     +0.009946,          4,               49010
+11:36:47.75,-36:26:52.7,     +0.009945,          4,               55584
+18:52:58.61,-42:16:44.8,     +0.009943,          4,               87333
+12:37:43.51,-35:31:03.5,     +0.009941,          4,               61365
+07:35:21.13,-50:02:34.5,     +0.009939,          4,               40354
+02:55:07.85,-21:31:14.8,     +0.009936,          4,               16070
+09:26:50.09,-32:47:47.6,     +0.009935,          3,              127071
+13:08:04.32,-23:47:48.7,     +0.009935,          4,               65385
+00:34:23.63,-24:40:12.5,     +0.009933,          4,                3316
+11:29:44.43,-36:23:28.7,     +0.009933,          4,               55571
+11:16:15.63,-33:49:38.9,     +0.009932,          4,               54553
+11:05:21.93,-32:57:58.8,     +0.009932,          4,               53076
+05:57:52.23,-20:05:04.7,     +0.009931,          4,              125933
+10:44:24.43,-32:12:35.2,     +0.009930,          4,               51984
+09:59:15.60,-42:00:01.6,     +0.009924,          4,               47211
+10:32:29.46,-26:11:53.4,     +0.009923,          4,               50901
+00:09:38.49,-27:46:22.2,     +0.009922,          4,                 177
+11:10:45.37,-35:21:02.0,     +0.009922,          4,               54538
+21:52:15.31,-55:34:10.8,     +0.009922,          4,              104959
+23:00:28.49,-27:10:11.8,     +0.009921,          4,              111319
+15:01:00.07,-15:07:18.3,     +0.009920,          4,              119203
+05:44:39.32,-28:33:16.5,     +0.009919,          4,               32932
+14:42:55.49,-31:01:35.5,     +0.009912,          4,               75257
+12:40:01.66,-42:02:33.9,     +0.009910,          4,               61144
+20:42:36.69,-79:56:03.9,     +0.009910,          4,               94920
+13:01:36.23,-30:03:56.9,     +0.009909,          4,              122109
+14:00:11.68,-48:16:11.8,     +0.009909,          4,               72241
+06:03:03.75,-20:17:47.9,     +0.009907,          4,              125958
+11:40:31.11,-44:39:35.3,     +0.009906,          4,               54951
+12:15:23.25,-35:03:32.2,     +0.009903,          4,               58623
+10:36:23.07,-27:21:15.1,     +0.009903,          4,               49677
+11:34:03.99,-07:37:20.4,     +0.009902,          4,               55024
+13:21:09.97,-11:47:49.1,     +0.009898,          4,               67187
+10:24:16.96,-32:28:57.6,     +0.009897,          4,               49007
+23:43:07.77,-32:01:13.0,     +0.009895,          4,              115644
+13:15:12.80,-17:58:00.4,     +0.009895,          4,               65808
+18:56:58.64,-42:42:11.1,     +0.009890,          4,               88166
+14:39:46.38,-32:40:09.2,     +0.009889,          4,               74778
+09:49:24.55,-32:50:21.1,     +0.009886,          4,               46282
+00:32:40.12,-25:36:27.0,     +0.009884,          4,                2686
+05:32:18.54,-17:13:25.9,     +0.009883,          4,               31924
+12:17:04.30,-39:03:03.3,     +0.009882,          4,               58845
+13:09:50.80,-24:14:30.7,     +0.009881,          4,               64685
+08:38:27.19,-61:23:31.3,     +0.009881,          4,               42107
+22:35:30.57,-03:01:19.5,     +0.009880,          4,              135462
+05:24:47.10,-15:56:35.9,     +0.009879,          4,               31830
+13:13:30.79,-19:32:47.9,     +0.009874,          4,               65538
+02:18:26.84,-27:39:54.2,     +0.009874,          4,               12915
+20:20:49.63,-48:14:20.7,     +0.009869,          4,              130401
+22:35:43.76,-50:53:26.5,     +0.009868,          3,              135574
+15:06:22.76,-75:17:52.6,     +0.009868,          4,               79456
+20:02:50.13,-65:13:47.5,     +0.009867,          4,               94489
+23:56:09.92,-27:27:59.7,     +0.009865,          4,                 144
+11:22:07.76,-38:03:55.7,     +0.009864,          4,               55319
+05:32:20.91,-17:16:44.0,     +0.009862,          4,               31548
+10:14:45.39,-34:03:31.5,     +0.009862,          4,               48695
+22:40:15.13,-02:25:26.6,     +0.009862,          4,              135452
+10:33:35.88,-27:01:22.1,     +0.009860,          4,               50282
+06:22:01.34,-13:53:27.3,     +0.009858,          4,               35571
+20:23:58.07,-43:59:43.0,     +0.009856,          4,               94141
+11:56:46.45,-38:11:32.7,     +0.009853,          4,               56795
+13:06:56.53,-23:55:01.4,     +0.009853,          4,               64315
+13:18:30.35,-14:36:32.0,     +0.009852,          4,              128608
+12:05:47.39,-38:51:14.4,     +0.009852,          4,               58833
+13:57:56.50,-29:17:25.4,     +0.009851,          4,               71924
+14:56:06.49,-37:41:47.2,     +0.009838,          4,               77680
+12:15:34.21,-35:37:47.0,     +0.009834,          4,               58642
+13:00:57.55,-41:45:05.6,     +0.009833,          4,               62657
+13:07:05.95,-23:40:36.6,     +0.009833,          4,               64313
+14:44:00.57,-12:57:11.7,     +0.009832,          3,               75163
+07:35:07.55,-46:55:42.5,     +0.009829,          4,               40260
+12:20:29.69,-41:57:27.9,     +0.009828,          4,               58694
+14:50:36.46,-18:09:04.2,     +0.009828,          4,              119147
+00:09:38.49,-27:46:22.2,     +0.009828,          4,                  82
+10:33:33.91,-26:18:02.8,     +0.009826,          4,               49604
+13:15:59.31,-16:23:49.8,     +0.009824,          4,              128598
+12:37:55.24,-26:11:10.6,     +0.009824,          4,               60412
+22:04:49.32,-64:02:48.6,     +0.009820,          4,              131685
+10:35:24.75,-27:28:55.7,     +0.009819,          4,               49916
+10:41:56.74,-40:15:37.0,     +0.009817,          4,               50050
+12:27:37.32,-39:20:16.0,     +0.009816,          4,               60298
+22:16:05.09,-65:27:17.0,     +0.009812,          4,              131752
+05:45:53.91,-21:59:56.9,     +0.009811,          4,               33906
+09:51:57.43,-33:04:24.7,     +0.009811,          4,              119016
+21:47:48.67,-34:12:59.2,     +0.009811,          4,              103272
+23:05:11.73,-43:05:50.9,     +0.009808,          3,              135779
+11:53:03.29,-36:38:19.7,     +0.009808,          4,               56710
+22:38:57.07,-05:51:11.6,     +0.009807,          4,              109277
+21:35:53.99,-03:08:53.2,     +0.009804,          4,              102792
+13:49:46.60,-48:45:09.4,     +0.009803,          4,               67946
+10:41:56.74,-40:15:37.0,     +0.009801,          4,               50585
+10:32:09.60,-34:27:47.4,     +0.009800,          4,               50408
+10:43:33.02,-36:24:38.6,     +0.009800,          4,               50521
+11:36:43.39,-36:28:09.7,     +0.009797,          4,               56289
+22:35:35.73,-02:42:25.4,     +0.009795,          4,              107607
+11:54:06.69,-39:52:01.4,     +0.009794,          4,               56314
+22:07:46.80,-10:44:44.8,     +0.009792,          4,              131809
+10:29:13.36,-44:07:22.5,     +0.009791,          4,               49293
+15:27:39.76,-73:56:40.0,     +0.009790,          4,               79473
+10:43:50.54,-38:15:47.6,     +0.009789,          4,               50588
+06:04:27.46,-20:21:13.5,     +0.009787,          4,              125971
+05:57:43.98,-21:16:55.0,     +0.009785,          4,              125919
+11:48:51.83,-37:30:42.0,     +0.009780,          4,               55626
+10:30:33.91,-35:23:10.4,     +0.009778,          4,               49026
+12:54:55.96,-13:25:42.8,     +0.009777,          4,               63901
+10:27:20.39,-35:16:27.4,     +0.009777,          4,               50349
+13:11:09.74,-16:33:29.6,     +0.009776,          4,               65111
+12:44:49.07,-40:42:51.5,     +0.009773,          4,               61128
+08:49:00.37,-07:49:47.4,     +0.009772,          4,               42623
+07:43:43.68,-56:46:04.3,     +0.009771,          4,               40194
+10:42:02.30,-33:14:43.5,     +0.009770,          4,               50401
+20:16:53.13,-47:19:39.0,     +0.009769,          4,              130411
+12:37:11.75,-38:33:28.9,     +0.009767,          4,               60275
+12:22:02.25,-35:47:33.8,     +0.009762,          4,               58634
+12:27:37.32,-39:20:16.0,     +0.009759,          4,               58870
+05:03:01.31,-43:17:56.1,     +0.009758,          4,               30120
+22:09:32.92,-02:34:29.0,     +0.009757,          4,              105435
+10:30:04.96,-44:27:13.2,     +0.009754,          4,               51544
+12:57:04.30,-39:46:01.0,     +0.009750,          4,               62645
+14:29:19.40,-33:27:18.1,     +0.009749,          4,               74768
+12:15:03.21,-34:51:59.8,     +0.009749,          4,               59727
+12:45:47.63,-07:04:10.9,     +0.009748,          4,               61635
+12:38:38.92,-40:29:23.8,     +0.009746,          4,               62618
+21:59:15.29,-33:52:52.3,     +0.009745,          4,              106226
+14:42:23.88,-17:15:10.8,     +0.009745,          4,               76040
+13:10:35.62,-39:36:15.9,     +0.009745,          4,              120613
+11:46:08.45,-38:19:13.1,     +0.009740,          4,               56776
+13:56:45.00,-48:29:50.2,     +0.009739,          4,               71476
+10:06:56.19,-25:17:30.9,     +0.009737,          4,               49078
+11:50:58.05,-46:47:35.0,     +0.009734,          4,               57111
+13:05:23.50,-23:31:21.0,     +0.009732,          4,               64308
+14:47:25.69,-13:42:58.1,     +0.009730,          4,               75173
+10:05:47.40,-41:42:53.4,     +0.009726,          3,               48422
+13:21:49.09,-13:12:24.4,     +0.009721,          4,              128634
+22:17:47.31,-49:15:35.8,     +0.009720,          4,              105841
+05:52:09.34,-18:01:24.9,     +0.009720,          4,               33959
+12:46:07.13,-07:29:46.7,     +0.009714,          4,               62700
+14:12:09.15,-49:23:22.4,     +0.009702,          4,               72313
+06:13:02.72,-27:43:47.4,     +0.009702,          4,               35024
+10:34:49.02,-28:25:02.9,     +0.009700,          4,               50250
+15:03:50.32,-77:29:41.0,     +0.009696,          4,               79445
+09:50:01.44,-32:52:56.7,     +0.009696,          4,              127341
+10:27:57.94,-39:48:53.2,     +0.009695,          4,               50012
+13:52:06.96,-48:10:13.8,     +0.009694,          4,               71450
+12:48:48.40,-42:26:07.1,     +0.009692,          4,               63799
+17:12:29.38,-15:03:32.8,     +0.009686,          4,               84714
+05:56:55.06,-33:11:11.2,     +0.009685,          4,               33371
+20:10:10.85,-48:17:13.4,     +0.009684,          4,               91759
+13:09:47.67,-23:23:02.5,     +0.009683,          4,               64312
+09:49:24.55,-32:50:21.1,     +0.009683,          4,              127342
+20:06:28.26,-48:22:32.2,     +0.009683,          4,               91767
+06:21:30.74,-22:05:14.8,     +0.009682,          4,               36135
+12:27:38.66,-08:16:51.4,     +0.009681,          4,               59713
+12:35:38.22,-39:18:16.8,     +0.009677,          4,               60286
+20:25:02.12,-81:34:31.0,     +0.009677,          4,               94852
+03:08:27.38,-23:03:17.0,     +0.009677,          4,               18232
+13:09:51.76,-24:14:21.7,     +0.009677,          4,               64868
+13:08:42.57,-23:46:32.0,     +0.009675,          4,               65388
+22:51:05.46,-01:59:19.0,     +0.009674,          4,              132256
+05:36:47.17,-18:36:20.0,     +0.009674,          4,               31994
+05:29:07.57,-19:56:02.3,     +0.009670,          4,               31983
+17:12:29.38,-15:03:32.8,     +0.009668,          3,               84649
+06:25:20.61,-22:43:27.0,     +0.009666,          4,               37438
+11:09:32.13,-37:20:58.7,     +0.009665,          4,               53119
+12:44:19.59,-40:43:54.5,     +0.009663,          4,               61788
+22:56:30.02,-02:39:48.0,     +0.009662,          4,              132263
+14:16:27.04,-31:41:05.8,     +0.009661,          4,               73485
+20:11:48.37,-51:23:17.8,     +0.009657,          4,               92503
+06:03:49.44,-33:11:28.3,     +0.009657,          4,               35088
+13:08:42.20,-23:46:33.1,     +0.009656,          4,               64866
+13:00:51.36,-40:25:36.1,     +0.009653,          3,              120610
+05:50:46.73,-18:10:14.6,     +0.009646,          4,               33954
+02:16:41.47,-29:31:43.1,     +0.009642,          4,              118002
+05:58:06.59,-30:50:02.0,     +0.009641,          4,               35180
+22:36:09.23,-51:38:02.7,     +0.009641,          4,              107946
+15:48:15.93,-75:40:22.6,     +0.009640,          4,               79500
+02:16:41.47,-29:31:43.1,     +0.009640,          4,               12143
+10:36:33.57,-44:31:57.6,     +0.009633,          4,               49297
+14:57:50.86,-19:16:38.0,     +0.009633,          4,               76253
+13:15:12.71,-16:29:57.1,     +0.009631,          4,              128599
+20:45:59.07,-70:35:47.1,     +0.009622,          4,               96665
+10:16:18.72,-33:33:49.8,     +0.009622,          4,               48668
+04:12:02.39,-10:18:41.0,     +0.009622,          4,               24543
+06:47:20.85,-25:36:58.2,     +0.009616,          4,              134195
+21:22:56.07,-45:46:55.4,     +0.009613,          4,              131160
+22:06:50.15,-64:18:58.5,     +0.009611,          4,              131686
+18:31:21.24,-78:36:36.9,     +0.009609,          4,               87466
+13:19:58.93,-47:16:54.6,     +0.009608,          4,               65228
+10:48:04.35,-31:31:35.4,     +0.009607,          4,               51983
+05:53:42.96,-32:05:45.3,     +0.009603,          4,               33623
+13:17:36.37,-16:32:25.3,     +0.009603,          4,               65596
+15:04:27.15,-14:26:21.9,     +0.009602,          4,               76728
+21:37:00.76,-48:19:41.3,     +0.009601,          4,              131139
+07:44:38.90,-58:09:13.3,     +0.009601,          4,               40217
+22:23:39.17,-03:25:53.8,     +0.009600,          4,              107603
+10:59:38.20,-37:51:17.6,     +0.009599,          4,               52332
+13:19:20.65,-14:50:40.3,     +0.009598,          4,               66940
+09:02:44.94,-20:42:51.4,     +0.009597,          4,               43274
+22:38:13.52,-07:02:05.2,     +0.009596,          4,              109278
+06:23:25.59,-16:09:44.5,     +0.009594,          4,               37142
+20:10:59.17,-09:55:44.5,     +0.009593,          4,               93559
+13:05:15.57,-16:53:17.6,     +0.009591,          4,               63960
+10:58:34.27,-46:35:02.0,     +0.009591,          4,               52247
+06:19:03.18,-29:19:37.2,     +0.009590,          4,               36752
+11:55:33.67,-16:25:50.3,     +0.009590,          4,              128171
+10:06:56.19,-25:17:30.9,     +0.009589,          4,               46714
+06:19:33.39,-15:26:29.1,     +0.009589,          3,               35583
+17:19:57.72,-77:22:06.7,     +0.009588,          3,               84126
+10:48:40.66,-35:05:24.6,     +0.009586,          4,               52499
+12:42:25.55,-07:02:36.5,     +0.009582,          4,               62704
+15:11:28.91,-75:51:35.9,     +0.009578,          4,               79454
+11:28:40.46,-34:03:31.0,     +0.009576,          4,               54507
+06:24:55.98,-37:21:25.6,     +0.009566,          4,               36403
+13:10:45.98,-23:51:56.4,     +0.009566,          4,               65389
